population,profile_id,rotor_position,rotor_present,s2_coupling_interval_ms,apd90_0d_ms,erp_1d_ms,cv_1d_cm_s,vw_any_duration_ms,vw_sustained_duration_ms,df_baseline_hz,area_baseline_cm2,df_baseline_interval_0p5hz,df_baseline_subgroup
pAF,1840,m,1,215,178.607372152605,196,63,34,34,5.859375,1.224,5.5-6.0,mid
pAF,1862,m,0,NaN,178.276006051317,198,81.924577373212,13,11,NaN,NaN,,
pAF,1870,m,0,NaN,216.372193604861,255,73.8569753810082,9,0,NaN,NaN,,
pAF,1872,m,1,199,184.871990549327,188,80.4597701149425,18,18,6.34765625,1.0809,6.0-6.5,mid
pAF,1873,m,0,NaN,215.542598512955,253,59.4900849858357,15,0,NaN,NaN,,
pAF,1881,m,1,208,168.447117117226,184,59.6026490066225,40,40,5.859375,1.0242,5.5-6.0,mid
pAF,1886,m,1,216,188.162116606822,204,82.7858081471747,16,14,5.7373046875,1.2294,5.5-6.0,mid
pAF,1892,m,0,NaN,203.530735424269,220,80.2547770700637,20,0,NaN,NaN,,
pAF,1919,m,0,NaN,241.114163252707,240,85.0202429149798,0,0,NaN,NaN,,
pAF,1937,m,0,NaN,222.416625879407,231,76.2711864406779,1,0,NaN,NaN,,
pAF,1957,m,1,203,164.343994031566,182,71.0259301014656,35,35,5.859375,1.1061,5.5-6.0,mid
pAF,1960,m,1,197,177.998134267844,187,67.0926517571885,17,17,6.103515625,1.1385,6.0-6.5,mid
pAF,1982,m,1,208,175.895715011757,189,81.1855670103093,28,26,5.859375,1.2393,5.5-6.0,mid
pAF,1986,m,1,203,182.943100699275,190,85.5978260869565,22,22,6.34765625,1.1628,6.0-6.5,mid
pAF,1988,m,1,270,175.017887860617,248,66.9500531349628,32,31,4.638671875,0.6174,4.5-5.0,low
pAF,1992,m,0,NaN,222.821278020099,227,83.3333333333333,3,1,NaN,NaN,,mid
pAF,2036,m,1,196,173.934817713503,189,70.1559020044544,16,9,5.9814453125,1.1061,5.5-6.0,mid
pAF,2054,m,0,NaN,208.9793203917,211,82.5688073394495,1,1,NaN,NaN,,mid
pAF,2062,m,0,NaN,196.881854821273,220,78.1637717121588,24,1,NaN,NaN,,low
pAF,2070,m,1,232,164.1072261546,206,54.3572044866264,45,45,4.7607421875,0.8649,4.5-5.0,low
pAF,2079,m,1,246,213.922434413384,233,57.9044117647058,22,22,4.638671875,1.0359,4.5-5.0,low
pAF,2080,m,1,210,177.981612991942,196,87.0165745856353,21,21,5.859375,1.0548,5.5-6.0,mid
